station,Ridership,Downtown
North Temple Bridge/Guadalupe,1305,0
South Salt Lake City Station,103,0
Draper Town Center Station,680,0
Library Station,1228,1
Ballpark Station,1782,0
City Center Station,2884,1
Airport Station,1439,0
Temple Square Station,686,1
300 East Station,94,0
Bingham Junction Station,379,0
Fort Douglas Station,637,0
Fashion Place West Station,1568,0
Fairmont Station,272,0
5600 W. Old Bingham Hwy Station,166,0
West Jordan City Center Station,429,0
Power Station,439,0
University Medical Center,1429,0
Murray North Station,873,0
Salt Lake Central Station,891,1
900 East Station,891,0
Millcreek Station,1357,0
1940 W. North Temple Station,730,0
Planetarium Station,624,1
Arena Station,1774,1
Sandy Expo Station,264,0
500 East Station,137,0
University South Campus Station,1095,0
Sugarmont Station,101,0
Redwood Junction Station,383,0
Daybreak Parkway Station,1059,0
South Jordan Parkway Station,149,0
Midvale Center Station,503,0
Gallivan Plaza Station,1799,1
Historic Gardner Station,124,0
Kimballs Lane Station,225,0
Stadium Station,1937,0
Courthouse Station,4756,1
MRSC OPERATOR RELIEF,21,0
700 East Station,107,0
Fairpark Station,147,0
Midvale Fort Union Station,622,0
Historic Sandy Station,644,0
Murray Central Station,2458,0
Trolley Station,1406,0
Central Pointe Station,3501,0
Jordan Valley Station,385,0
Crescent View Station,389,0
4800 W. Old Bingham Hwy Station,445,0
Meadowbrook Station,1118,0
West Valley Central Station,1039,0
JORDAN RIVER SERVICE CENTER RELIEF,2,0
900 South Station,1260,0
River Trail Station,209,0
Decker Lake Station,323,0
Sandy Civic Center Station,404,0
2700 W. Sugar Factory Rd Station,265,0
Jackson/Euclid Station,834,0
Old Greektown Station,373,1
