station,Ridership
Trolley Station,1340
Sugarmont Station,125
Planetarium Station,543
600 South Station,1184
West Jordan City Center Station,397
Old Greektown Station,358
2700 W. Sugar Factory Rd Station,203
MRSC OPERATOR RELIEF,3
Temple Square Station,758
Historic Sandy Station,440
Bingham Junction Station,272
Ballpark Station,1939
Murray North Station,725
700 East Station,120
Redwood Junction Station,457
Kimballs Lane Station,130
City Center Station,2244
Crescent View Station,245
Murray Central Station,3298
900 South Station,1279
Millcreek Station,1194
Power Station,455
Sandy Expo Station,161
University Medical Center,1110
Stadium Station,1550
Courthouse Station,3382
Fairpark Station,485
Clearfield Station,552
Library Station,1097
Roy Station,387
University South Campus Station,684
River Trail Station,119
Layton Station,520
Sandy Civic Center Station,324
5600 W. Old Bingham Hwy Station,118
Gallivan Plaza Station,1312
West Valley Central Station,1245
Daybreak Parkway Station,973
Salt Lake Central Station,1916
4800 W. Old Bingham Hwy Station,319
Meadowbrook Station,974
Midvale Center Station,425
900 East Station,673
American Fork Station,552
North Temple Station,1989
Jordan Valley Station,319
Provo Central Station,1768
Lehi Station,968
Woods Cross Station,453
RIVER TRAIL STATION,102
Draper Town Center Station,481
Vineyard Station,366
Central Pointe Station,3367
Fairmont Station,342
Fashion Place West Station,1328
Decker Lake Station,280
300 East Station,89
South Salt Lake City Station,143
Jackson/Euclid Station,928
Ogden Central Station,1133
500 East Station,105
JORDAN RIVER SERVICE CENTER RELIEF,4
Fort Douglas Station,655
Orem Central Station,1022
Airport Station,1299
1940 W. North Temple Station,847
Farmington Station,508
Arena Station,1480
Historic Gardner Station,147
Midvale Fort Union Station,566
Draper Station,532
South Jordan Parkway Station,133
North Temple Bridge/Guadalupe,1097
South Jordan Station,577
